v8-version,8,4,371,19,-node.18,0
shared-library,/usr/local/bin/node,0x400000,0x424f000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.24.so,0x7fc5d9d05000,0x7fc5d9e9a000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.24.so,0x7fc5da0a4000,0x7fc5da0bc000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fc5da2c1000,0x7fc5da2d7000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.24.so,0x7fc5da4d8000,0x7fc5da5db000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.22,0x7fc5da7dc000,0x7fc5da94e000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.24.so,0x7fc5dab5e000,0x7fc5dab61000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.24.so,0x7fc5dad62000,0x7fc5dad85000,0
shared-library,[vdso],0x7fffa73f5000,0x7fffa73f7000,0
profiler,begin,1000
tick,0xe41829,755,0,0x0,6
tick,0x7fc5da882d37,1799,0,0x0,6
code-creation,Builtin,3,2693,0x1393bc0,1632,RecordWrite
code-creation,Builtin,3,2709,0x1394240,424,EphemeronKeyBarrier
code-creation,Builtin,3,2720,0x1394400,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2731,0x1394440,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2743,0x1394580,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2756,0x1394660,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2770,0x1394780,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2782,0x13948c0,127,CallBoundFunction
code-creation,Builtin,3,2793,0x1394940,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2805,0x13949c0,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2817,0x1394a40,109,Call_ReceiverIsAny
code-creation,Builtin,3,2829,0x1394ac0,866,CallProxy
code-creation,Builtin,3,2839,0x1394e40,75,CallVarargs
code-creation,Builtin,3,2849,0x1394ea0,1056,CallWithSpread
code-creation,Builtin,3,2869,0x13952e0,926,CallWithArrayLike
code-creation,Builtin,3,2881,0x1395680,100,CallForwardVarargs
code-creation,Builtin,3,2894,0x1395700,100,CallFunctionForwardVarargs
code-creation,Builtin,3,2909,0x1395780,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2925,0x1395820,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2941,0x1395920,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2958,0x1395a80,26,ConstructFunction
code-creation,Builtin,3,2972,0x1395aa0,127,ConstructBoundFunction
code-creation,Builtin,3,2987,0x1395b20,28,ConstructedNonConstructable
code-creation,Builtin,3,3002,0x1395b40,90,Construct
code-creation,Builtin,3,3015,0x1395ba0,75,ConstructVarargs
code-creation,Builtin,3,3028,0x1395c00,1084,ConstructWithSpread
code-creation,Builtin,3,3042,0x1396040,1000,ConstructWithArrayLike
code-creation,Builtin,3,3056,0x1396440,139,ConstructForwardVarargs
code-creation,Builtin,3,3071,0x13964e0,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,3086,0x1396580,328,JSConstructStubGeneric
code-creation,Builtin,3,3101,0x13966e0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,3122,0x13967e0,735,FastNewObject
code-creation,Builtin,3,3137,0x1396ac0,305,FastNewClosure
code-creation,Builtin,3,3151,0x1396c00,209,FastNewFunctionContextEval
code-creation,Builtin,3,3166,0x1396ce0,209,FastNewFunctionContextFunction
code-creation,Builtin,3,3182,0x1396dc0,238,CreateRegExpLiteral
code-creation,Builtin,3,3196,0x1396ec0,554,CreateEmptyArrayLiteral
code-creation,Builtin,3,3211,0x1397100,1140,CreateShallowArrayLiteral
code-creation,Builtin,3,3225,0x1397580,1856,CreateShallowObjectLiteral
code-creation,Builtin,3,3241,0x1397ce0,854,ConstructProxy
code-creation,Builtin,3,3254,0x1398040,188,JSEntry
code-creation,Builtin,3,3267,0x1398100,188,JSConstructEntry
code-creation,Builtin,3,3281,0x13981c0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,3294,0x1398280,95,JSEntryTrampoline
code-creation,Builtin,3,3308,0x13982e0,95,JSConstructEntryTrampoline
code-creation,Builtin,3,3323,0x1398340,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,3337,0x1398480,1112,StringCodePointAt
code-creation,Builtin,3,3351,0x13988e0,1615,StringFromCodePointAt
code-creation,Builtin,3,3366,0x1398f40,552,StringEqual
code-creation,Builtin,3,3379,0x1399180,284,StringGreaterThan
code-creation,Builtin,3,3412,0x13992a0,284,StringGreaterThanOrEqual
code-creation,Builtin,3,3428,0x13993c0,1077,StringIndexOf
code-creation,Builtin,3,3448,0x1399800,284,StringLessThan
code-creation,Builtin,3,3462,0x1399920,284,StringLessThanOrEqual
code-creation,Builtin,3,3476,0x1399a40,2627,StringSubstring
code-creation,Builtin,3,3490,0x139a4a0,92,OrderedHashTableHealIndex
code-creation,Builtin,3,3505,0x139a500,920,InterpreterEntryTrampoline
code-creation,Builtin,3,3520,0x139a8a0,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,3535,0x139a900,83,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,3552,0x139a960,80,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,3568,0x139a9c0,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,3584,0x139aa20,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,3600,0x139aa80,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,3618,0x139aae0,216,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,3634,0x139abc0,81,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,3651,0x139ac20,51,InterpreterOnStackReplacement
code-creation,Builtin,3,3667,0x139ac60,1061,CompileLazy
code-creation,Builtin,3,3681,0x139b0a0,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,3698,0x139b100,245,InstantiateAsmJs
code-creation,Builtin,3,3712,0x139b200,32,NotifyDeoptimized
code-creation,Builtin,3,3726,0x139b240,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,3741,0x139b280,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,3757,0x139b2c0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,3772,0x139b300,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,3789,0x139b360,287,CallApiCallback
code-creation,Builtin,3,3803,0x139b480,269,CallApiGetter
code-creation,Builtin,3,3817,0x139b5a0,12,HandleApiCall
code-creation,Builtin,3,3830,0x139b5c0,12,HandleApiCallAsFunction
code-creation,Builtin,3,3845,0x139b5e0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,3860,0x139b600,72,AllocateInYoungGeneration
code-creation,Builtin,3,3875,0x139b660,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,3890,0x139b6a0,72,AllocateInOldGeneration
code-creation,Builtin,3,3904,0x139b700,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,3925,0x139b740,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,3941,0x139b940,563,GrowFastDoubleElements
code-creation,Builtin,3,3955,0x139bb80,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,3970,0x139bd40,353,NewArgumentsElements
code-creation,Builtin,3,3985,0x139bec0,500,DebugBreakTrampoline
code-creation,Builtin,3,3998,0x139c0c0,141,FrameDropperTrampoline
code-creation,Builtin,3,4013,0x139c160,45,HandleDebuggerStatement
code-creation,Builtin,3,4028,0x139c1a0,254,ToObject
code-creation,Builtin,3,4042,0x139c2a0,100,ToBoolean
code-creation,Builtin,3,4055,0x139c320,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4072,0x139c440,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,4087,0x139c560,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,4104,0x139c640,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,4119,0x139c720,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,4134,0x139c800,85,StringToNumber
code-creation,Builtin,3,4148,0x139c860,129,ToName
code-creation,Builtin,3,4161,0x139c900,235,NonNumberToNumber
code-creation,Builtin,3,4175,0x139ca00,255,NonNumberToNumeric
code-creation,Builtin,3,4189,0x139cb00,239,ToNumber
code-creation,Builtin,3,4202,0x139cc00,272,ToNumberConvertBigInt
code-creation,Builtin,3,4216,0x139cd20,275,ToNumeric
code-creation,Builtin,3,4229,0x139ce40,261,NumberToString
code-creation,Builtin,3,4243,0x139cf60,382,ToLength
