Statistical profiling result from isolate-0x4f9f120-72-v8.log, (28439 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  20317   71.4%          /usr/local/bin/node
   3506   12.3%          /lib/x86_64-linux-gnu/libpthread-2.24.so
    392    1.4%          /lib/x86_64-linux-gnu/libc-2.24.so
     31    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.22
     30    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    225    0.8%    5.4%  LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
    141    0.5%    3.4%  LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
    138    0.5%    3.3%  LazyCompile: *end _http_outgoing.js:769:45
    130    0.5%    3.1%  LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
    119    0.4%    2.9%  LazyCompile: *parserOnIncoming _http_server.js:809:26
    104    0.4%    2.5%  LazyCompile: *resOnFinish _http_server.js:756:21
     79    0.3%    1.9%  LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
     74    0.3%    1.8%  LazyCompile: *clearBuffer internal/streams/writable.js:493:21
     71    0.2%    1.7%  LazyCompile: *fastparse /usr/src/app/node_modules/parseurl/index.js:95:20
     68    0.2%    1.6%  LazyCompile: *module.exports /usr/src/app/node_modules/qs/lib/parse.js:222:27
     66    0.2%    1.6%  LazyCompile: *parseQueryStringValues /usr/src/app/node_modules/qs/lib/parse.js:41:50
     64    0.2%    1.5%  LazyCompile: *endReadable internal/streams/readable.js:1310:21
     63    0.2%    1.5%  LazyCompile: *_storeHeader _http_outgoing.js:360:22
     62    0.2%    1.5%  LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/index.js:136:31
     62    0.2%    1.5%  LazyCompile: *expressInit /usr/src/app/node_modules/express/lib/middleware/init.js:29:30
     57    0.2%    1.4%  LazyCompile: *readableAddChunk internal/streams/readable.js:231:26
     54    0.2%    1.3%  LazyCompile: *parseQueryStringKeys /usr/src/app/node_modules/qs/lib/parse.js:135:46
     48    0.2%    1.2%  LazyCompile: *insert internal/timers.js:345:16
